iter	Passed	Remaining
656	1420	741
657	1421	738
658	1423	736
659	1425	734
660	1426	731
661	1428	729
662	1429	726
663	1433	725
664	1434	722
665	1436	720
666	1437	717
667	1439	715
668	1440	712
669	1442	710
670	1444	708
671	1447	706
672	1449	704
673	1450	701
674	1452	699
675	1454	696
676	1455	694
677	1457	692
678	1459	689
679	1462	688
680	1463	685
681	1465	683
682	1467	680
683	1468	678
684	1470	676
685	1472	673
686	1473	671
687	1476	669
688	1478	667
689	1479	664
690	1481	662
691	1483	660
692	1484	657
693	1486	655
694	1488	653
695	1489	650
696	1491	648
697	1493	646
698	1494	643
699	1496	641
700	1498	638
701	1499	636
702	1501	634
703	1503	631
704	1505	629
705	1507	627
706	1508	625
707	1510	622
708	1512	620
709	1514	618
710	1515	616
711	1517	613
712	1518	611
713	1521	609
714	1523	607
715	1524	604
716	1526	602
717	1528	600
718	1529	597
719	1531	595
720	1532	593
721	1535	591
722	1537	589
723	1538	586
724	1540	584
725	1542	582
726	1543	579
727	1545	577
728	1546	575
729	1548	572
730	1550	570
731	1552	568
732	1554	566
733	1556	563
734	1557	561
735	1559	559
736	1560	557
737	1562	554
738	1565	552
739	1566	550
740	1568	548
741	1570	545
742	1571	543
743	1573	541
744	1574	539
745	1576	536
746	1577	534
747	1580	532
748	1581	530
749	1583	527
750	1584	525
751	1586	523
752	1588	520
753	1589	518
754	1591	516
755	1592	514
756	1594	511
757	1596	509
758	1597	507
759	1599	505
760	1601	502
761	1602	500
762	1604	498
763	1605	495
764	1608	494
765	1610	491
766	1611	489
767	1613	487
768	1615	485
769	1616	482
770	1618	480
771	1620	478
772	1623	476
773	1624	474
774	1626	472
775	1627	469
776	1629	467
777	1630	465
778	1632	463
779	1633	460
780	1635	458
781	1638	456
782	1639	454
783	1641	452
784	1642	449
785	1644	447
786	1645	445
787	1647	443
788	1649	441
789	1650	438
790	1653	436
791	1654	434
792	1656	432
793	1657	430
794	1659	427
795	1660	425
796	1662	423
797	1664	421
798	1667	419
799	1668	417
800	1670	414
801	1671	412
802	1673	410
803	1674	408
804	1677	406
805	1678	404
806	1683	402
807	1685	400
808	1686	398
809	1688	396
810	1690	393
811	1691	391
812	1693	389
813	1695	387
814	1697	385
815	1699	383
816	1700	380
817	1702	378
818	1704	376
819	1705	374
820	1707	372
821	1708	370
822	1711	368
823	1713	365
824	1714	363
825	1716	361
826	1718	359
827	1719	357
828	1721	355
829	1722	352
830	1725	350
831	1727	348
832	1728	346
833	1730	344
834	1731	342
835	1733	340
836	1735	337
837	1736	335
838	1738	333
839	1740	331
840	1742	329
841	1744	327
842	1745	325
843	1747	323
844	1749	320
845	1750	318
846	1752	316
847	1755	314
848	1756	312
849	1758	310
850	1760	308
851	1761	305
852	1763	303
853	1764	301
854	1766	299
855	1767	297
856	1770	295
857	1771	293
858	1773	291
859	1774	288
860	1776	286
861	1778	284
862	1779	282
863	1781	280
864	1782	278
865	1784	276
866	1786	274
867	1787	271
868	1789	269
869	1790	267
870	1792	265
871	1794	263
872	1795	261
873	1798	259
874	1799	257
875	1801	255
876	1803	252
877	1805	250
878	1806	248
879	1808	246
880	1810	244
881	1813	242
882	1815	240
883	1816	238
884	1818	236
885	1819	234
886	1821	232
887	1823	229
888	1825	227
889	1827	225
890	1829	223
891	1831	221
892	1832	219
893	1834	217
894	1835	215
895	1837	213
896	1839	211
897	1840	209
898	1842	207
899	1844	204
900	1846	202
901	1847	200
902	1849	198
903	1851	196
904	1852	194
905	1854	192
906	1857	190
907	1859	188
908	1860	186
909	1862	184
910	1863	182
911	1865	180
912	1867	177
913	1868	175
914	1870	173
915	1872	171
916	1874	169
917	1876	167
918	1877	165
919	1879	163
920	1880	161
921	1882	159
922	1883	157
923	1886	155
924	1888	153
925	1890	151
926	1891	148
927	1894	146
928	1896	144
929	1898	142
930	1900	140
931	1902	138
932	1904	136
933	1907	134
934	1909	132
935	1911	130
936	1913	128
937	1914	126
938	1917	124
939	1919	122
940	1921	120
941	1923	118
942	1925	116
943	1927	114
944	1929	112
945	1932	110
946	1933	108
947	1935	106
948	1937	104
949	1939	102
950	1941	100
951	1943	97
952	1946	95
953	1947	93
954	1949	91
955	1951	89
956	1952	87
957	1954	85
958	1956	83
959	1957	81
960	1961	79
961	1962	77
962	1964	75
963	1966	73
964	1967	71
965	1969	69
966	1971	67
967	1972	65
968	1976	63
969	1977	61
970	1979	59
971	1981	57
972	1982	55
973	1984	52
974	1986	50
975	1987	48
976	1991	46
977	1993	44
978	1995	42
979	1997	40
980	1999	38
981	2001	36
982	2002	34
983	2005	32
984	2007	30
985	2009	28
986	2010	26
987	2012	24
988	2014	22
989	2015	20
990	2017	18
991	2019	16
992	2021	14
993	2022	12
994	2024	10
995	2026	8
996	2027	6
997	2029	4
998	2031	2
999	2032	0
